Language,Site, Percentage,Total Power
English,Ashburn,34.99001589501799,172.1508782034885
French,Ashburn,3.887012275090472,19.124100393445122
Spanish,Ashburn,61.12297182989068,300.72502140306216
English,Carrollton,5.473360918082991,26.92893571696832
Spanish,Carrollton,94.52663908191657,465.07106428302956
English,Haarlem,18.69548356402663,91.98177913501102
German,Haarlem,24.068200366462754,118.41554580299676
French,Haarlem,22.716638528293196,111.76586155920252
Chinese,Haarlem,1.0923336149709053,5.374281385656854
Russian,Haarlem,27.327657004430744,134.45207246179928
Spanish,Haarlem,6.099686921816492,30.01045965533714
English,San Francisco,100.0,492.0
English,Singapore,30.47268970004503,149.92563332422154
Japanese,Singapore,27.375137877960082,134.6856783595636
French,Singapore,3.5333002838006604,17.38383739629925
Chinese,Singapore,6.78015420192139,33.35835867345324
Russian,Singapore,31.838717936271788,156.6464922464572
