source,target,value
English,Ashburn,3.499001589501799e+29
French,Ashburn,3.887012275090473e+28
Spanish,Ashburn,6.112297182989068e+29
English,Carrollton,5.473360918082992e+28
Spanish,Carrollton,9.452663908191658e+29
English,Haarlem,1.8695483564026634e+29
German,Haarlem,2.4068200366462756e+29
French,Haarlem,2.2716638528293195e+29
Chinese,Haarlem,1.0923336149709054e+28
Russian,Haarlem,2.7327657004430747e+29
Spanish,Haarlem,6.099686921816493e+28
English,San Francisco,1e+30
English,Singapore,3.0472689700045034e+29
Japanese,Singapore,2.7375137877960085e+29
French,Singapore,3.533300283800661e+28
Chinese,Singapore,6.780154201921392e+28
Russian,Singapore,3.1838717936271785e+29
