,source,target,value
0,English,Ashburn,0.44661119325116216
1,French,Ashburn,0.052004543225069
2,Spanish,Ashburn,0.6530658376454983
3,English,Carrollton,0.08235331293416266
4,Spanish,Carrollton,0.9545945261720831
5,English,Haarlem,0.20162690220569626
6,German,Haarlem,0.25959560501687523
7,French,Haarlem,0.24907026552644676
8,Chinese,Haarlem,0.012453445639904592
9,Russian,Haarlem,0.2951413974377392
10,Spanish,Haarlem,0.07214135842313209
11,English,San Francisco,1.0
12,English,Singapore,0.32653244152269634
13,Japanese,Singapore,0.3084352155932535
14,French,Singapore,0.04047812238265281
15,Chinese,Singapore,0.07627997896852351
16,Russian,Singapore,0.345921156688405
