source,target,value
English,Ashburn,9.050796487335155
French,Ashburn,27.005291800136753
Spanish,Ashburn,63.94391171252739
English,Carrollton,2.7386915818794577
Spanish,Carrollton,97.26130841811936
English,Haarlem,2.6519705750300786
German,Haarlem,1.2091170718985582
French,Haarlem,45.493767948412696
Chinese,Haarlem,0.14259623105129351
Russian,Haarlem,47.80772091576237
Spanish,Haarlem,2.6948272578440977
English,San Francisco,100.0
English,Singapore,2.841165882579273
Japanese,Singapore,46.15712264204607
French,Singapore,5.979153661607281
Chinese,Singapore,0.6913951569856576
Russian,Singapore,44.331162656781196
